accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room
4,1.0,1.0,1.0,37.559673,126.924902,0.0,0.0,1.0
4,1.0,1.0,1.0,37.498921,127.028552,1.0,0.0,0.0
6,0.0,1.0,1.0,37.562708,126.988606,1.0,0.0,0.0
2,1.0,1.0,1.0,37.533475,126.990877,0.0,1.0,0.0
4,0.0,1.0,1.0,37.561785,126.993591,1.0,0.0,0.0
4,1.0,1.0,1.0,37.51315,127.05541799999999,1.0,0.0,0.0
3,1.0,1.0,1.0,37.527238,127.05377,0.0,1.0,0.0
4,1.0,1.0,1.0,37.585209000000006,127.008904,0.0,1.0,0.0
12,2.0,1.0,1.0,37.562113000000004,126.99576100000002,1.0,0.0,0.0
5,2.0,1.0,3.0,37.566227000000005,127.002248,1.0,0.0,0.0
3,1.0,1.0,1.0,37.558131,126.925322,0.0,1.0,0.0
2,1.0,1.0,1.0,37.553191999999996,126.95528200000001,0.0,1.0,0.0
4,1.0,1.0,1.0,37.557947999999996,126.922063,0.0,1.0,0.0
4,1.0,1.0,1.0,37.542605,126.95393100000001,1.0,0.0,0.0
4,0.0,1.0,1.0,37.525773,126.85935900000001,1.0,0.0,0.0
16,0.0,1.0,1.0,37.475778999999996,126.93651299999999,1.0,0.0,0.0
5,1.0,1.0,1.0,37.520796000000004,126.88526100000001,1.0,0.0,0.0
2,1.0,1.0,1.0,37.501519,127.023284,0.0,1.0,0.0
4,1.0,1.0,2.0,37.506279,127.10101200000001,1.0,0.0,0.0
9,2.0,1.0,1.0,37.56197,126.99096200000001,1.0,0.0,0.0
2,1.0,1.0,1.0,37.522851,127.02633,1.0,0.0,0.0
8,3.0,2.0,3.0,37.510243,127.039557,1.0,0.0,0.0
3,0.0,1.0,1.0,37.498021,127.028501,1.0,0.0,0.0
7,2.0,1.0,2.0,37.54809,126.915553,1.0,0.0,0.0
3,1.0,1.0,1.0,37.476284,126.995503,0.0,1.0,0.0
3,1.0,1.0,1.0,37.520783,127.04718500000001,0.0,1.0,0.0
2,1.0,1.0,1.0,37.555661,126.920079,1.0,0.0,0.0
4,0.0,1.0,1.0,37.542713,126.95357299999999,1.0,0.0,0.0
3,0.0,1.0,2.0,37.567065,127.00741000000001,1.0,0.0,0.0
2,0.0,1.0,5.0,37.58149,126.99691200000001,1.0,0.0,0.0
1,1.0,1.0,1.0,37.516692,127.03945300000001,0.0,1.0,0.0
5,2.0,1.0,1.0,37.553791,126.96976699999999,1.0,0.0,0.0
2,1.0,1.0,1.0,37.555306,126.945353,0.0,1.0,0.0
2,1.0,1.0,2.0,37.518952,127.02599599999999,0.0,1.0,0.0
2,1.0,1.0,14.0,37.492896,127.02923899999999,1.0,0.0,0.0
5,1.0,1.0,1.0,37.556571999999996,126.924419,1.0,0.0,0.0
1,1.0,1.0,2.0,37.532396999999996,126.98983700000001,0.0,1.0,0.0
2,1.0,1.0,1.0,37.557721,126.981575,0.0,1.0,0.0
3,1.0,1.0,2.0,37.530840999999995,126.954497,1.0,0.0,0.0
5,1.0,1.0,1.0,37.561437,126.91547299999999,1.0,0.0,0.0
3,0.0,1.0,3.0,37.559159,126.92971999999999,1.0,0.0,0.0
6,1.0,1.0,1.0,37.575056,127.019002,0.0,0.0,1.0
7,2.0,1.0,2.0,37.561974,126.988651,1.0,0.0,0.0
4,2.0,1.0,1.0,37.543214,126.987132,1.0,0.0,0.0
5,1.0,1.0,5.0,37.539639,126.946343,1.0,0.0,0.0
6,1.0,2.0,2.0,37.555541999999996,126.92704499999999,0.0,0.0,1.0
4,3.0,2.0,3.0,37.538854,127.07131399999999,1.0,0.0,0.0
2,1.0,1.0,1.0,37.555453,126.92568700000001,0.0,1.0,0.0
4,1.0,1.0,1.0,37.538808,127.086877,1.0,0.0,0.0
3,0.0,1.0,3.0,37.557315,126.92801299999999,1.0,0.0,0.0
3,1.0,1.0,3.0,37.565458,127.00671499999999,1.0,0.0,0.0
